year,state_county,inctot,mortamt1,sex,age,ftotinc,foodstmp_1,foodstmp_2,foodstmp_All,foodstmp_1_freq,foodstmp_2_freq,sex_1,sex_2,sex_All,sex_2_freq,sex_1_freq,marst_1,marst_2,marst_3,marst_4,marst_5,marst_6,marst_All,marst_5_freq,marst_6_freq,marst_1_freq,marst_4_freq,marst_3_freq,marst_2_freq,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_All,race_1_freq,race_2_freq,race_7_freq,race_8_freq,race_5_freq,race_6_freq,race_3_freq,race_4_freq,race_9_freq,ctz_stat_1,ctz_stat_2,ctz_stat_3,ctz_stat_All,ctz_stat_1_freq,ctz_stat_3_freq,ctz_stat_2_freq,lang_1,lang_2,lang_All,lang_1_freq,lang_2_freq,educ_attain_1.0,educ_attain_2.0,educ_attain_3.0,educ_attain_4.0,educ_attain_All,educ_attain_2.0_freq,educ_attain_1.0_freq,educ_attain_3.0_freq,educ_attain_4.0_freq,empstat_1.0,empstat_2.0,empstat_3.0,empstat_All,empstat_1.0_freq,empstat_3.0_freq,empstat_2.0_freq,state_po,county_name,democrat,green,liberitarian,other,republican,winner
2014,42101,21973.2,699.2,7861,44.4,40132.2,6108,1753,7861,77.7,22.3,3549,4312,7861,54.9,45.1,2485,153,263,715,599,3646,7861,7.6,46.4,31.6,9.1,3.3,1.9,4004,2852,26,194,11,371,229,146,28,7861,50.9,36.3,2.9,1.9,0.1,4.7,0.3,2.5,0.4,6824,536,501,7861,86.8,6.4,6.8,6390,1471,7861,81.3,18.7,3691,3279,780,111,7861,41.7,47,9.9,1.4,4005,469,3387,7861,50.9,43.1,6,,,,,,,,
2014,42107,20426.6,495.7,1763,50.8,43937.4,1587,176,1763,90,10,881,882,1763,50,50,886,44,25,198,179,431,1763,10.2,24.4,50.3,11.2,1.4,2.5,1685,43,1,4,0,1,16,10,3,1763,95.6,2.4,0.9,0.6,0,0.1,0.1,0.2,0.2,1736,12,15,1763,98.5,0.9,0.7,1698,65,1763,96.3,3.7,1066,613,78,6,1763,34.8,60.5,4.4,0.3,935,72,756,1763,53,42.9,4.1,,,,,,,,
2014,42129,25090.9,607.9,3081,51.3,55763.6,2745,336,3081,89.1,10.9,1506,1575,3081,51.1,48.9,1674,26,55,317,255,754,3081,8.3,24.5,54.3,10.3,1.8,0.8,2965,68,3,6,0,14,1,22,2,3081,96.2,2.2,0,0.7,0,0.5,0.1,0.2,0.1,3025,38,18,3081,98.2,0.6,1.2,2996,85,3081,97.2,2.8,1453,1372,231,25,3081,44.5,47.2,7.5,0.8,1788,110,1183,3081,58,38.4,3.6,,,,,,,,
2014,42133,24881.2,752.4,2971,48.6,53425.3,2699,272,2971,90.8,9.2,1451,1520,2971,51.2,48.8,1708,50,50,301,193,669,2971,6.5,22.5,57.5,10.1,1.7,1.7,2751,122,1,13,1,17,38,25,3,2971,92.6,4.1,1.3,0.8,0,0.6,0,0.4,0.1,2882,45,44,2971,97,1.5,1.5,2815,156,2971,94.7,5.3,1578,1172,212,9,2971,39.4,53.1,7.1,0.3,1803,101,1067,2971,60.7,35.9,3.4,,,,,,,,
2014,44000,34826.3,1068,1260,49.7,70527.2,1165,95,1260,92.5,7.5,593,667,1260,52.9,47.1,622,35,10,154,79,360,1260,6.3,28.6,49.4,12.2,0.8,2.8,1168,38,4,5,0,14,9,20,2,1260,92.7,3,0.7,1.6,0,1.1,0.3,0.4,0.2,1143,73,44,1260,90.7,3.5,5.8,1117,143,1260,88.7,11.3,402,634,191,33,1260,50.3,31.9,15.2,2.6,791,44,425,1260,62.8,33.7,3.5,,,,,,,,
2014,44003,30620.4,910,1352,49.9,60870.5,1213,139,1352,89.7,10.3,637,715,1352,52.9,47.1,734,16,15,156,107,324,1352,7.9,24,54.3,11.5,1.1,1.2,1268,17,3,12,0,27,4,19,2,1352,93.8,1.3,0.3,1.4,0,2,0.2,0.9,0.1,1250,73,29,1352,92.5,2.1,5.4,1222,130,1352,90.4,9.6,519,677,138,18,1352,50.1,38.4,10.2,1.3,866,64,422,1352,64.1,31.2,4.7,,,,,,,,
2014,44007,24761.3,854,4981,46.3,51587.4,3994,987,4981,80.2,19.8,2310,2671,4981,53.6,46.4,2116,139,109,568,367,1682,4981,7.4,33.8,42.5,11.4,2.2,2.8,4002,349,31,51,2,143,277,119,7,4981,80.3,7,5.6,2.4,0,2.9,0.6,1,0.1,4059,499,423,4981,81.5,8.5,10,3702,1279,4981,74.3,25.7,2277,2210,415,79,4981,44.4,45.7,8.3,1.6,2860,245,1876,4981,57.4,37.7,4.9,,,,,,,,
2014,44009,32838.5,1013.3,1160,48.6,67251.3,1078,82,1160,92.9,7.1,561,599,1160,51.6,48.4,658,12,6,135,65,284,1160,5.6,24.5,56.7,11.6,0.5,1,1107,13,8,8,0,5,6,13,0,1160,95.4,1.1,0.5,1.1,0,0.4,0.7,0.7,0,1118,27,15,1160,96.4,1.3,2.3,1088,72,1160,93.8,6.2,359,603,164,34,1160,52,30.9,14.1,2.9,686,31,443,1160,59.1,38.2,2.7,,,,,,,,
2014,45000,23271.8,683.5,30490,47.3,46898.7,26312,4178,30490,86.3,13.7,14482,16008,30490,52.5,47.5,15260,707,881,3353,2487,7802,30490,8.2,25.6,50,11,2.9,2.3,21447,7885,123,71,20,314,260,340,30,30490,70.3,25.9,0.9,1.1,0.1,1,0.4,0.2,0.1,29075,619,796,30490,95.4,2.6,2,28843,1647,30490,94.6,5.4,13246,14260,2652,332,30490,46.8,43.4,8.7,1.1,16233,1264,12993,30490,53.2,42.6,4.1,,,,,,,,
2014,45007,19345.3,611.9,1306,48.9,39378.5,1115,191,1306,85.4,14.6,605,701,1306,53.7,46.3,704,33,46,138,133,252,1306,10.2,19.3,53.9,10.6,3.5,2.5,1094,188,4,0,0,5,6,9,0,1306,83.8,14.4,0.5,0.7,0,0.4,0.3,0,0,1283,10,13,1306,98.2,1,0.8,1282,24,1306,98.2,1.8,629,590,77,10,1306,45.2,48.2,5.9,0.8,681,55,570,1306,52.1,43.6,4.2,,,,,,,,
2014,45051,21934.7,661.2,2400,50,40446.4,2113,287,2400,88,12,1120,1280,2400,53.3,46.7,1258,40,73,307,199,523,2400,8.3,21.8,52.4,12.8,3,1.7,2084,248,4,4,0,14,31,14,1,2400,86.8,10.3,1.3,0.6,0,0.6,0.2,0.2,0,2271,53,76,2400,94.6,3.2,2.2,2275,125,2400,94.8,5.2,1047,1167,167,19,2400,48.6,43.6,7,0.8,1213,83,1104,2400,50.5,46,3.5,,,,,,,,
2014,45083,20551,588.7,2291,47,45221,1966,325,2291,85.8,14.2,1069,1222,2291,53.3,46.7,1124,37,67,279,196,588,2291,8.6,25.7,49.1,12.2,2.9,1.6,1757,449,7,1,0,33,17,24,3,2291,76.7,19.6,0.7,1,0,1.4,0.3,0,0.1,2168,69,54,2291,94.6,2.4,3,2143,148,2291,93.5,6.5,1080,1033,164,14,2291,45.1,47.1,7.2,0.6,1208,94,989,2291,52.7,43.2,4.1,,,,,,,,
2014,45091,26971.6,697.3,1719,46.4,52761.5,1545,174,1719,89.9,10.1,799,920,1719,53.5,46.5,980,22,38,204,113,362,1719,6.6,21.1,57,11.9,2.2,1.3,1393,238,24,5,3,14,11,29,2,1719,81,13.8,0.6,1.7,0.2,0.8,1.4,0.3,0.1,1648,33,38,1719,95.9,2.2,1.9,1640,79,1719,95.4,4.6,649,907,148,15,1719,52.8,37.8,8.6,0.9,1028,73,618,1719,59.8,36,4.2,,,,,,,,
2014,46000,24237.9,632.8,6634,47.3,50684.8,5964,670,6634,89.9,10.1,3280,3354,6634,50.6,49.4,3726,123,62,653,546,1524,6634,8.2,23,56.2,9.8,0.9,1.9,5844,53,541,10,0,43,27,111,5,6634,88.1,0.8,0.4,1.7,0,0.6,8.2,0.2,0.1,6477,69,88,6634,97.6,1.3,1,6248,386,6634,94.2,5.8,2887,3392,313,42,6634,51.1,43.5,4.7,0.6,4213,159,2262,6634,63.5,34.1,2.4,,,,,,,,
2014,47000,20400.5,587.4,30602,48.6,42340.2,25169,5433,30602,82.2,17.8,14641,15961,30602,52.2,47.8,16880,630,679,4078,2600,5735,30602,8.5,18.7,55.2,13.3,2.2,2.1,27531,2083,96,54,13,190,191,408,36,30602,90,6.8,0.6,1.3,0,0.6,0.3,0.2,0.1,29671,419,512,30602,97,1.7,1.4,29470,1132,30602,96.3,3.7,16611,11920,1777,294,30602,39,54.3,5.8,1,15294,1210,14098,30602,50,46.1,4,,,,,,,,
2014,47009,23035.4,700.4,994,49.6,48906.2,848,146,994,85.3,14.7,484,510,994,51.3,48.7,560,16,20,115,82,201,994,8.2,20.2,56.3,11.6,2,1.6,951,27,5,0,4,3,0,4,0,994,95.7,2.7,0,0.4,0.4,0.3,0.5,0,0,960,18,16,994,96.6,1.6,1.8,969,25,994,97.5,2.5,474,448,60,12,994,45.1,47.7,6,1.2,532,46,416,994,53.5,41.9,4.6,,,,,,,,
2014,47037,27658,812.7,5039,43.9,50384.4,4325,714,5039,85.8,14.2,2363,2676,5039,53.1,46.9,2167,123,100,639,304,1706,5039,6,33.9,43,12.7,2,2.4,3609,1103,12,17,3,125,101,62,7,5039,71.6,21.9,2,1.2,0.1,2.5,0.2,0.3,0.1,4508,202,329,5039,89.5,6.5,4,4448,591,5039,88.3,11.7,1737,2641,555,106,5039,52.4,34.5,11,2.1,3177,176,1686,5039,63,33.5,3.5,,,,,,,,
2014,47065,25013.6,711,2736,47.7,49877.2,2377,359,2736,86.9,13.1,1243,1493,2736,54.6,45.4,1348,70,55,329,214,720,2736,7.8,26.3,49.3,12,2,2.6,2189,448,6,6,2,54,8,22,1,2736,80,16.4,0.3,0.8,0.1,2,0.2,0.2,0,2601,75,60,2736,95.1,2.2,2.7,2586,150,2736,94.5,5.5,1013,1420,281,22,2736,51.9,37,10.3,0.8,1551,110,1075,2736,56.7,39.3,4,,,,,,,,
2014,47149,24315.6,751.3,1788,43,48859.1,1620,168,1788,90.6,9.4,872,916,1788,51.2,48.8,974,34,28,207,84,461,1788,4.7,25.8,54.5,11.6,1.6,1.9,1483,179,1,3,8,58,21,35,0,1788,82.9,10,1.2,2,0.4,3.2,0.1,0.2,0,1651,55,82,1788,92.3,4.6,3.1,1612,176,1788,90.2,9.8,673,957,132,26,1788,53.5,37.6,7.4,1.5,1142,63,583,1788,63.9,32.6,3.5,,,,,,,,
2014,47157,25360.3,769.3,6214,45.5,49223.9,4879,1335,6214,78.5,21.5,2828,3386,6214,54.5,45.5,2596,118,207,789,415,2089,6214,6.7,33.6,41.8,12.7,3.3,1.9,2883,2975,11,36,5,111,105,75,13,6214,46.4,47.9,1.7,1.2,0.1,1.8,0.2,0.6,0.2,5821,139,254,6214,93.7,4.1,2.2,5729,485,6214,92.2,7.8,2496,3041,584,93,6214,48.9,40.2,9.4,1.5,3573,334,2307,6214,57.5,37.1,5.4,,,,,,,,
2014,47165,26309.5,737.3,1382,48,55718.8,1208,174,1382,87.4,12.6,661,721,1382,52.2,47.8,862,27,27,159,105,202,1382,7.6,14.6,62.4,11.5,2,2,1275,72,3,0,2,8,8,14,0,1382,92.3,5.2,0.6,1,0.1,0.6,0.2,0,0,1342,26,14,1382,97.1,1,1.9,1328,54,1382,96.1,3.9,628,643,97,14,1382,46.5,45.4,7,1,834,58,490,1382,60.3,35.5,4.2,,,,,,,,
2014,47179,23313,631.8,821,47.5,44060.2,722,99,821,87.9,12.1,377,444,821,54.1,45.9,422,20,19,110,71,179,821,8.6,21.8,51.4,13.4,2.3,2.4,742,54,2,3,0,8,1,11,0,821,90.4,6.6,0.1,1.3,0,1,0.2,0.4,0,787,19,15,821,95.9,1.8,2.3,789,32,821,96.1,3.9,339,389,81,12,821,47.4,41.3,9.9,1.5,426,31,364,821,51.9,44.3,3.8,,,,,,,,
2014,47187,49465.9,1204.5,1470,47.6,95955.9,1415,55,1470,96.3,3.7,711,759,1470,51.6,48.4,1067,14,7,103,77,202,1470,5.2,13.7,72.6,7,0.5,1,1352,54,2,7,2,44,1,5,3,1470,92,3.7,0.1,0.3,0.1,3,0.1,0.5,0.2,1361,60,49,1470,92.6,3.3,4.1,1375,95,1470,93.5,6.5,313,833,293,31,1470,56.7,21.3,19.9,2.1,980,26,464,1470,66.7,31.6,1.8,,,,,,,,
2014,47189,27909.5,781.2,834,48.2,56848.2,761,73,834,91.2,8.8,416,418,834,50.1,49.9,528,8,18,105,49,126,834,5.9,15.1,63.3,12.6,2.2,1,744,48,4,1,0,21,6,8,2,834,89.2,5.8,0.7,1,0,2.5,0.5,0.1,0.2,782,30,22,834,93.8,2.6,3.6,779,55,834,93.4,6.6,361,406,63,4,834,48.7,43.3,7.6,0.5,513,21,300,834,61.5,36,2.5,,,,,,,,
